state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
36,063,7001,45201,2,43.096373,-79.011447,NAD83,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,27,82.0,N,27,33,0,3,,,Certification not required,0.648148,0.213704,1.1,2016-11-08 00:00,1.0,2016-12-20 00:00,0.9,2016-11-02 00:00,0.9,2016-11-14 00:00,,,,,1.1,1.1,1.0,0.9,0.8,0.7,0.4,Packard Court Community Center,"4200 Pine Ave, Niagara Falls, NY 14301",New York,Niagara,Niagara Falls,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2020-05-21
36,055,1007,45201,2,43.14618,-77.54817,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,52,85.0,Y,52,61,0,9,,,Certification not required,0.773077,0.372124,2.4,2016-01-07 00:00,1.7,2016-11-14 00:00,1.6,2016-01-31 00:00,1.3,2016-03-07 00:00,,,,,2.4,1.7,1.6,1.2,0.9,0.7,0.5,ROCHESTER 2,"2 YARMOUTH ROAD, RG&E Substation",New York,Monroe,Rochester,40380,"Rochester, NY",2020-05-21
36,029,1014,45201,2,42.99813,-78.89926,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,58,95.0,Y,58,61,0,3,,,Certification not required,0.910345,0.410686,3.0,2016-01-07 00:00,1.8,2016-09-21 00:00,1.6,2016-11-14 00:00,1.5,2016-04-18 00:00,,,,,3.0,1.8,1.6,1.4,1.1,0.9,0.5,BROOKSIDE TERRACE,192 BROOKSIDE TERRACE WEST,New York,Erie,Tonawanda,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2020-05-21
36,029,1013,45201,2,42.98844,-78.91859,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,59,97.0,Y,59,61,0,2,,,Certification not required,1.420339,0.868764,4.2,2016-11-14 00:00,3.8,2016-02-06 00:00,3.4,2016-06-11 00:00,3.3,2016-11-08 00:00,,,,,4.2,3.8,3.4,2.7,1.8,1.0,0.6,GRAND ISLE BOULDVARD,520 GRAND ISLAND BLVD,New York,Erie,Tonawanda,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2020-05-21
36,029,1013,45201,10,42.98844,-78.91859,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,58,95.0,Y,58,61,0,3,,,Certification not required,1.482759,0.880418,4.4,2016-11-14 00:00,3.9,2016-02-06 00:00,3.3,2016-06-11 00:00,3.3,2016-11-08 00:00,,,,,4.4,3.9,3.3,2.8,1.9,1.2,0.7,GRAND ISLE BOULDVARD,520 GRAND ISLAND BLVD,New York,Erie,Tonawanda,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2020-05-21
36,029,1013,45201,20,42.98844,-78.91859,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,57,93.0,Y,57,61,0,2,,,Certification not required,1.368421,0.798695,3.7,2016-02-06 00:00,3.4,2016-06-11 00:00,3.3,2016-11-08 00:00,2.8,2016-02-12 00:00,,,,,3.7,3.4,3.3,2.7,1.7,1.0,0.6,GRAND ISLE BOULDVARD,520 GRAND ISLAND BLVD,New York,Erie,Tonawanda,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2020-05-21
36,031,0003,45201,2,44.39308,-73.8589,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,56,92.0,Y,56,61,0,5,,,Certification not required,0.428571,0.328475,1.9,2016-08-28 00:00,1.7,2016-01-25 00:00,0.8,2016-02-24 00:00,0.7,2016-01-07 00:00,,,,,1.9,1.7,0.8,0.7,0.6,0.4,0.2,WHITEFACE BASE,"Wilmington, BASE WHITEFACE MTN, ASRC, SUNY",New York,Essex,,,,2020-05-21
36,001,0013,45201,2,42.640931,-73.756511,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,59,97.0,Y,59,61,0,2,,,Certification not required,1.205085,0.832409,5.3,2016-01-07 00:00,3.5,2016-11-08 00:00,3.1,2016-11-14 00:00,2.3,2016-11-02 00:00,,,,,5.3,3.5,3.1,2.1,1.5,0.9,0.5,S. Pearl Street,"274 S Pearl St, Albany, NY 12202",New York,Albany,,10580,"Albany-Schenectady-Troy, NY",2020-05-21
36,101,0003,45201,2,42.09142,-77.20978,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,59,97.0,Y,59,61,0,2,,,Certification not required,0.511864,0.255346,1.5,2016-01-07 00:00,1.0,2016-12-20 00:00,0.9,2016-03-07 00:00,0.8,2016-01-25 00:00,,,,,1.5,1.0,0.9,0.8,0.7,0.5,0.2,PINNACLE STATE PARK,"8301 ACKERSON ROAD, Pinnacle State Park",New York,Steuben,,18500,"Corning, NY",2020-05-21
36,029,0005,45201,2,42.876907,-78.809526,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2017,Parts per billion Carbon,No Events,60,98.0,Y,60,61,0,1,,,Certification not required,0.868333,0.411072,2.5,2017-10-22 00:00,2.1,2017-12-03 00:00,1.4,2017-01-01 00:00,1.4,2017-09-16 00:00,,,,,2.5,2.1,1.4,1.3,1.2,0.8,0.4,BUFFALO,"TRAILER,185 DINGENS STREET (near WEISS ST.)",New York,Erie,Buffalo,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2020-05-21
