CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
"Corsicana, TX",18620,2015,364,234,129,1,0,0,0,105,65,43,0,0,161,203,0
"Corvallis, OR",18700,2015,365,314,49,1,1,0,0,154,54,22,0,0,0,365,0
"Craig, CO",18780,2015,141,137,4,0,0,0,0,77,46,36,0,0,141,0,0
"Crawfordsville, IN",18820,2015,118,32,86,0,0,0,0,83,68,55,0,0,0,118,0
"Crescent City, CA",18860,2015,114,101,13,0,0,0,0,72,51,20,0,0,0,114,0
"Crestview-Fort Walton Beach-Destin, FL",18880,2015,365,354,11,0,0,0,0,74,44,33,0,0,350,0,15
"Cullowhee, NC",19000,2015,257,185,72,0,0,0,0,100,62,44,0,0,189,68,0
"Dallas-Fort Worth-Arlington, TX",19100,2015,365,123,198,39,5,0,0,172,105,55,0,5,163,197,0
"Dalton, GA",19140,2015,280,246,33,0,0,1,0,233,52,38,0,0,216,64,0
"Daphne-Fairhope-Foley, AL",19300,2015,264,205,58,1,0,0,0,129,57,39,0,0,169,95,0
"Davenport-Moline-Rock Island, IA-IL",19340,2015,365,63,299,2,1,0,0,153,77,61,0,0,28,268,69
"Dayton, OH",19380,2015,365,165,192,8,0,0,0,108,71,52,0,0,132,233,0
"Decatur, AL",19460,2015,365,241,124,0,0,0,0,93,61,44,0,0,101,264,0
"Decatur, IL",19500,2015,365,228,137,0,0,0,0,100,64,44,0,0,163,202,0
"Deltona-Daytona Beach-Ormond Beach, FL",19660,2015,365,295,70,0,0,0,0,83,55,40,0,0,173,192,0
"Deming, NM",19700,2015,355,351,4,0,0,0,0,75,27,16,0,53,0,0,302
"Denver-Aurora-Lakewood, CO",19740,2015,365,65,274,24,2,0,0,169,94,64,0,60,199,102,4
"Des Moines-West Des Moines, IA",19780,2015,365,251,114,0,0,0,0,99,61,44,0,8,91,265,1
"Detroit-Warren-Dearborn, MI",19820,2015,365,86,263,15,1,0,0,170,82,57,0,2,67,278,18
"Dickinson, ND",19860,2015,365,303,58,3,1,0,0,154,55,37,0,0,279,86,0
"Dodge City, KS",19980,2015,330,324,6,0,0,0,0,64,31,13,0,0,0,0,330
"Dothan, AL",20020,2015,283,241,42,0,0,0,0,74,54,36,0,0,188,95,0
"Douglas, GA",20060,2015,60,46,14,0,0,0,0,65,55,38,0,0,0,60,0
"Dover, DE",20100,2015,365,245,120,0,0,0,0,100,64,44,0,0,201,164,0
"DuBois, PA",20180,2015,336,292,44,0,0,0,0,100,54,38,0,0,336,0,0
"Duluth, MN-WI",20260,2015,365,282,81,2,0,0,0,104,57,42,0,0,156,204,5
"Durango, CO",20420,2015,365,271,92,2,0,0,0,108,64,43,0,2,361,2,0
"Durham-Chapel Hill, NC",20500,2015,364,200,164,0,0,0,0,87,64,48,0,0,124,239,1
"Dyersburg, TN",20540,2015,111,71,40,0,0,0,0,70,57,42,0,0,0,111,0
"Eagle Pass, TX",20580,2015,333,207,126,0,0,0,0,83,61,44,0,0,0,333,0
"East Stroudsburg, PA",20700,2015,364,243,120,1,0,0,0,112,64,42,0,0,202,162,0
"Eau Claire, WI",20740,2015,358,303,54,1,0,0,0,125,54,36,0,0,181,177,0
"Effingham, IL",20820,2015,203,184,19,0,0,0,0,84,50,40,0,0,203,0,0
"El Centro, CA",20940,2015,365,49,274,39,3,0,0,184,105,66,0,1,113,178,73
"El Dorado, AR",20980,2015,119,73,46,0,0,0,0,77,60,43,0,0,0,119,0
"El Paso, TX",21340,2015,365,128,230,7,0,0,0,136,80,54,0,7,170,187,1
"Elizabethtown-Fort Knox, KY",21060,2015,365,175,189,1,0,0,0,105,66,51,0,0,70,295,0
"Elkhart-Goshen, IN",21140,2015,357,175,179,3,0,0,0,124,73,51,0,0,63,294,0
"Elko, NV",21220,2015,359,314,45,0,0,0,0,97,54,30,0,0,112,16,231
"Ellensburg, WA",21260,2015,363,281,78,2,2,0,0,159,64,28,0,0,0,363,0
"Emporia, KS",21380,2015,119,97,22,0,0,0,0,85,55,26,0,0,0,119,0
"Erie, PA",21500,2015,365,221,142,2,0,0,0,115,66,44,0,9,159,197,0
"Espa?ola, NM",21580,2015,361,299,62,0,0,0,0,90,58,42,0,0,359,2,0
"Eugene, OR",21660,2015,365,213,137,13,2,0,0,199,81,44,0,0,122,243,0
"Eureka-Arcata-Fortuna, CA",21700,2015,365,241,124,0,0,0,0,91,59,40,0,0,145,216,4
"Evanston, WY",21740,2015,365,316,47,2,0,0,0,101,54,41,0,0,354,0,11
"Evansville, IN-KY",21780,2015,365,111,248,6,0,0,0,133,73,55,0,0,62,303,0
"Fairbanks, AK",21820,2015,365,124,178,20,37,6,0,263,154,59,0,0,63,298,4
"Fairmont, WV",21900,2015,119,60,59,0,0,0,0,90,62,49,0,0,0,119,0
"Fallon, NV",21980,2015,261,209,50,2,0,0,0,133,61,44,0,0,261,0,0
"Fargo, ND-MN",22020,2015,365,235,127,3,0,0,0,140,58,46,0,3,102,240,20
"Farmington, NM",22140,2015,365,263,100,2,0,0,0,115,67,44,0,23,337,5,0
"Fayetteville, NC",22180,2015,305,205,100,0,0,0,0,93,61,45,0,0,129,176,0
"Fayetteville-Springdale-Rogers, AR-MO",22220,2015,365,313,52,0,0,0,0,90,54,38,0,0,299,66,0
"Fernley, NV",22280,2015,275,207,64,4,0,0,0,108,71,45,0,0,275,0,0
"Flagstaff, AZ",22380,2015,365,258,103,4,0,0,0,108,74,44,0,0,357,8,0
"Flint, MI",22420,2015,357,203,151,3,0,0,0,131,66,48,0,0,91,266,0
"Florence, SC",22500,2015,305,215,90,0,0,0,0,84,58,44,0,0,161,144,0
"Florence-Muscle Shoals, AL",22520,2015,280,221,59,0,0,0,0,76,56,39,0,0,179,101,0
"Fond du Lac, WI",22540,2015,194,165,29,0,0,0,0,97,58,40,0,0,194,0,0
"Fort Collins, CO",22660,2015,365,177,171,16,1,0,0,165,80,51,0,0,302,63,0
"Fort Madison-Keokuk, IA-IL-MO",22800,2015,118,81,37,0,0,0,0,84,58,44,0,0,0,118,0
"Fort Payne, AL",22840,2015,363,294,68,1,0,0,0,101,55,38,0,0,284,79,0
"Fort Smith, AR-OK",22900,2015,365,304,61,0,0,0,0,93,55,36,0,47,212,80,26
"Fort Wayne, IN",23060,2015,365,139,224,1,1,0,0,176,69,54,0,3,48,314,0
"Fresno, CA",23420,2015,365,38,225,78,23,1,0,205,136,80,0,0,203,158,4
"Gadsden, AL",23460,2015,365,132,226,4,3,0,0,176,68,54,0,0,84,281,0
"Gaffney, SC",23500,2015,318,276,42,0,0,0,0,87,58,37,0,0,318,0,0
"Gainesville, FL",23540,2015,365,291,74,0,0,0,0,74,55,39,0,0,119,246,0
"Gainesville, GA",23580,2015,264,81,183,0,0,0,0,95,69,55,0,0,0,264,0
"Gardnerville Ranchos, NV",23820,2015,314,209,98,5,2,0,0,178,69,41,0,0,0,314,0
"Georgetown, SC",23860,2015,274,272,2,0,0,0,0,55,31,15,0,0,0,0,274
"Gettysburg, PA",23900,2015,365,176,188,1,0,0,0,101,68,51,0,0,162,203,0
"Gillette, WY",23940,2015,365,241,121,2,1,0,0,198,66,46,0,8,172,64,121
"Glenwood Springs, CO",24060,2015,365,259,96,10,0,0,0,133,67,46,0,0,349,11,5
